iter	Passed	Remaining
0	0	81
1	1	71
2	2	75
3	2	71
4	3	73
5	4	73
6	5	72
7	6	71
8	6	70
9	7	69
10	8	68
11	9	68
12	10	67
13	10	66
14	11	65
15	12	64
16	12	62
17	13	61
18	14	60
19	14	59
20	15	58
21	16	58
22	17	57
23	17	55
24	18	54
25	18	53
26	19	52
27	19	51
28	20	50
29	21	49
30	21	48
31	22	47
32	23	46
33	23	45
34	24	44
35	24	43
36	25	42
37	25	41
38	25	40
39	26	39
40	26	38
41	27	37
42	27	36
43	28	35
44	28	35
45	29	34
46	29	33
47	30	32
48	30	31
49	30	30
50	31	30
51	31	29
52	32	28
53	32	27
54	32	26
55	33	26
56	33	25
57	34	24
58	34	24
59	35	23
60	35	22
61	36	22
62	36	21
63	37	20
64	37	20
65	37	19
66	38	18
67	38	18
68	39	17
69	39	16
70	40	16
71	40	15
72	41	15
73	41	14
74	41	13
75	42	13
76	42	12
77	43	12
78	43	11
79	44	11
80	44	10
81	45	9
82	45	9
83	45	8
84	46	8
85	46	7
86	47	7
87	47	6
88	48	5
89	48	5
90	49	4
91	49	4
92	50	3
93	50	3
94	51	2
95	51	2
96	51	1
97	52	1
98	52	0
99	53	0
