iter	Passed	Remaining
0	152	152286
1	153	76583
2	154	51270
3	155	38607
4	156	31052
5	157	26040
6	158	22431
7	158	19712
8	159	17581
9	160	15881
10	161	14504
11	162	13369
12	163	12388
13	164	11556
14	164	10824
15	165	10182
16	166	9612
17	167	9115
18	168	8681
19	169	8301
20	170	7933
21	170	7597
22	171	7292
23	172	7010
24	173	6752
25	174	6521
26	175	6308
27	175	6105
28	176	5923
29	177	5743
30	178	5573
31	179	5418
32	180	5276
33	180	5139
34	181	5009
35	182	4884
36	183	4768
37	183	4657
38	184	4553
39	185	4453
40	186	4359
41	187	4268
42	187	4181
43	188	4097
44	189	4018
45	190	3941
46	191	3873
47	191	3806
48	192	3740
49	193	3676
50	194	3616
51	195	3557
52	196	3506
53	197	3451
54	197	3398
55	198	3348
56	199	3298
57	200	3251
58	200	3204
59	201	3163
60	203	3127
61	204	3086
62	204	3045
63	205	3006
64	206	2966
65	207	2929
66	207	2893
67	208	2862
68	209	2830
69	210	2796
70	211	2763
71	211	2730
72	212	2699
73	213	2671
74	214	2642
75	215	2622
76	216	2598
77	217	2571
78	218	2547
79	219	2520
80	219	2494
81	220	2470
82	221	2442
83	221	2420
84	223	2401
85	224	2381
86	224	2358
87	225	2336
88	226	2315
89	227	2296
90	228	2281
91	229	2262
92	230	2243
93	230	2224
94	231	2205
95	232	2185
96	232	2166
97	233	2150
98	234	2134
99	235	2116
100	235	2098
101	236	2081
102	237	2065
103	237	2050
104	238	2034
105	239	2019
106	240	2006
107	241	1991
108	241	1976
109	242	1962
110	243	1947
111	243	1933
112	244	1919
113	245	1908
114	246	1896
115	247	1883
116	247	1869
117	248	1857
118	249	1846
119	250	1834
120	250	1823
121	251	1811
122	252	1800
123	253	1788
124	254	1778
125	254	1767
126	255	1755
127	256	1744
128	256	1734
129	257	1724
130	258	1716
131	259	1706
132	260	1696
133	261	1687
134	261	1677
135	262	1667
136	263	1658
137	264	1649
138	264	1640
139	265	1631
140	266	1621
141	266	1611
142	267	1602
143	268	1593
144	268	1584
145	269	1576
146	270	1568
147	271	1560
148	271	1552
149	272	1544
150	273	1536
151	273	1527
152	274	1519
153	275	1512
154	275	1504
155	276	1498
156	277	1490
157	278	1483
158	279	1476
159	279	1468
160	280	1460
161	281	1453
162	281	1446
163	282	1440
164	283	1433
165	284	1427
166	284	1420
167	285	1413
168	286	1406
169	286	1400
170	287	1394
171	288	1387
172	289	1382
173	290	1377
174	290	1370
175	291	1364
176	292	1358
177	292	1352
178	293	1346
179	294	1340
180	295	1335
181	296	1330
182	296	1324
183	297	1318
184	298	1312
185	298	1307
186	299	1301
187	300	1296
188	300	1290
189	301	1286
190	302	1281
191	303	1276
192	303	1270
193	304	1265
194	305	1260
195	306	1255
196	306	1250
197	307	1245
198	308	1242
199	309	1237
200	310	1233
201	310	1228
202	311	1223
203	312	1218
204	313	1214
205	313	1209
206	314	1205
207	315	1200
208	316	1196
209	316	1192
210	317	1187
211	318	1183
212	319	1178
213	319	1174
214	320	1170
215	321	1166
216	322	1162
217	322	1157
218	323	1153
219	324	1149
220	324	1145
221	325	1141
222	326	1137
223	327	1133
224	327	1129
225	328	1125
226	329	1121
227	330	1118
228	330	1113
229	331	1109
230	332	1105
231	332	1102
232	333	1098
233	334	1094
234	335	1091
235	335	1087
236	336	1083
237	337	1079
238	337	1075
239	338	1071
240	339	1068
241	339	1064
242	340	1060
243	341	1057
244	341	1053
245	342	1050
246	343	1046
247	344	1043
248	345	1040
249	345	1037
250	346	1034
251	347	1031
252	348	1027
253	348	1024
254	349	1021
255	350	1017
256	350	1014
257	351	1012
258	352	1009
259	353	1005
260	354	1002
261	354	999
262	355	996
263	356	993
264	357	991
265	358	988
266	359	985
267	359	982
268	360	979
269	361	976
270	361	973
271	362	970
272	363	967
273	364	965
274	365	962
275	365	959
276	366	957
277	367	954
278	368	951
279	368	948
280	369	945
281	370	942
282	371	940
283	372	937
284	372	935
285	373	932
286	374	929
287	375	927
288	375	924
289	376	922
290	377	920
291	378	917
292	379	915
293	380	913
294	381	911
295	381	908
296	382	905
297	383	903
298	384	901
299	385	898
300	385	895
301	386	893
302	387	891
303	388	888
304	389	886
305	389	884
306	390	882
307	391	879
308	392	877
309	392	874
310	393	871
311	394	869
312	395	867
313	395	865
314	396	862
315	397	860
316	398	857
317	398	855
318	399	853
319	400	850
320	401	848
321	402	846
322	402	844
323	403	842
324	404	840
325	405	837
326	405	835
327	406	833
328	407	831
329	408	829
330	409	827
331	409	824
332	410	822
333	411	819
334	411	817
335	412	814
336	413	812
337	413	810
338	414	808
339	415	806
340	416	803
341	416	801
342	417	799
343	417	796
344	418	794
345	419	792
346	419	790
347	420	788
348	421	786
349	422	783
350	422	781
351	423	779
352	424	777
353	424	775
354	425	773
355	426	771
356	427	769
357	427	767
358	428	765
359	429	763
360	430	761
361	430	759
362	431	756
363	431	754
364	432	753
365	433	751
366	434	749
367	435	747
368	435	745
369	436	742
370	436	740
371	437	738
372	438	736
373	439	735
374	439	733
375	440	731
376	441	729
377	441	727
378	442	725
379	443	723
380	444	721
381	444	719
382	445	717
383	446	715
384	446	713
385	447	711
386	448	709
387	448	707
388	449	705
389	450	703
390	450	702
391	451	700
392	452	698
393	453	697
394	453	695
395	454	693
396	455	691
397	455	689
398	456	687
399	457	685
400	458	684
401	458	682
402	459	680
403	460	678
404	460	677
